,o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
38,135,605,O,230472.84,1995-10-21,4-NOT SPECIFIED,Clerk#000000804,0,l platelets use according t
39,160,826,O,114742.32,1996-12-19,4-NOT SPECIFIED,Clerk#000000342,0,thely special sauternes wake slyly of t
40,161,167,F,17668.6,1994-08-31,2-HIGH,Clerk#000000322,0,carefully! special instructions sin
41,162,142,O,3553.15,1995-05-08,3-MEDIUM,Clerk#000000378,0,"nts hinder fluffily ironic instructions. express, express excuses "
42,163,878,O,177809.13,1997-09-05,3-MEDIUM,Clerk#000000379,0,y final packages. final foxes since the quickly even
43,164,8,F,250417.2,1992-10-21,5-LOW,Clerk#000000209,0,cajole ironic courts. slyly final ideas are slyly. blithely final Tiresias sub
44,165,274,F,193302.35,1993-01-30,4-NOT SPECIFIED,Clerk#000000292,0,across the blithely regular accounts. bold
45,166,1079,O,158207.39,1995-09-12,2-HIGH,Clerk#000000440,0,"lets. ironic, bold asymptotes kindle"
46,167,1195,F,64017.85,1993-01-04,4-NOT SPECIFIED,Clerk#000000731,0,s nag furiously bold excuses. fluffily iron
47,192,826,O,194637.57,1997-11-25,5-LOW,Clerk#000000483,0,y unusual platelets among the final instructions integrate rut
48,193,791,F,80834.26,1993-08-08,1-URGENT,Clerk#000000025,0,the furiously final pin
49,194,619,F,154284.73,1992-04-05,3-MEDIUM,Clerk#000000352,0,"egular requests haggle slyly regular, regular pinto beans. asymptote"
50,195,1355,F,216638.92,1993-12-28,3-MEDIUM,Clerk#000000216,0,old forges are furiously sheaves. slyly fi
51,196,649,F,38660.64,1993-03-17,2-HIGH,Clerk#000000988,0,beans boost at the foxes. silent foxes
52,197,326,P,155247.48,1995-04-07,2-HIGH,Clerk#000000969,0,solve quickly about the even braids. carefully express deposits affix care
53,198,1103,O,149551.63,1998-01-02,4-NOT SPECIFIED,Clerk#000000331,0,its. carefully ironic requests sleep. furiously express fox
54,199,530,O,95867.7,1996-03-07,2-HIGH,Clerk#000000489,0,g theodolites. special packag
55,224,25,F,234050.44,1994-06-18,4-NOT SPECIFIED,Clerk#000000642,0,r the quickly thin courts. carefully
56,225,331,P,226028.98,1995-05-25,1-URGENT,Clerk#000000177,0,s. blithely ironic accounts wake quickly fluffily special acc
57,226,1276,F,256459.4,1993-03-10,2-HIGH,Clerk#000000756,0,s are carefully at the blithely ironic acc
58,227,100,O,69020.68,1995-11-10,5-LOW,Clerk#000000919,0, express instructions. slyly regul
59,228,442,F,2744.06,1993-02-25,1-URGENT,Clerk#000000562,0,es was slyly among the regular foxes. blithely regular dependenci
60,229,1118,F,195619.74,1993-12-29,1-URGENT,Clerk#000000628,0,he fluffily even instructions. furiously i
61,230,1027,F,147711.01,1993-10-27,1-URGENT,Clerk#000000520,0,odolites. carefully quick requ
62,231,910,F,234383.86,1994-09-29,2-HIGH,Clerk#000000446,0, packages haggle slyly after the carefully ironic instruct
63,256,1249,F,132718.67,1993-10-19,4-NOT SPECIFIED,Clerk#000000834,0,he fluffily final ideas might are final accounts. carefully f
64,257,1228,O,9255.12,1998-03-28,3-MEDIUM,Clerk#000000680,0,ts against the sly warhorses cajole slyly accounts
65,258,419,F,259466.78,1993-12-29,1-URGENT,Clerk#000000167,0,dencies. blithely quick packages cajole. ruthlessly final accounts
66,259,433,F,110611.59,1993-09-29,4-NOT SPECIFIED,Clerk#000000601,0,ages doubt blithely against the final foxes. carefully express deposits dazzle
67,260,1048,O,268084.69,1996-12-10,3-MEDIUM,Clerk#000000960,0,lently regular pinto beans sleep after the slyly e
68,261,461,F,278279.3,1993-06-29,3-MEDIUM,Clerk#000000310,0,ully fluffily brave instructions. furiousl
69,262,304,O,173401.63,1995-11-25,4-NOT SPECIFIED,Clerk#000000551,0,l packages. blithely final pinto beans use carefu
70,263,1162,F,104961.32,1994-05-17,2-HIGH,Clerk#000000088,0, pending instructions. blithely un
71,288,71,O,239366.68,1997-02-21,1-URGENT,Clerk#000000109,0,"uriously final requests. even, final ideas det"
72,289,1039,O,174624.55,1997-02-10,3-MEDIUM,Clerk#000000103,0,sily. slyly special excuse
73,290,1180,F,67636.54,1994-01-01,4-NOT SPECIFIED,Clerk#000000735,0,efully dogged deposits. furiou
74,291,1411,F,88375.89,1994-03-13,1-URGENT,Clerk#000000923,0,dolites. carefully regular pinto beans cajol
75,292,223,F,54152.77,1992-01-13,2-HIGH,Clerk#000000193,0,g pinto beans will have to sleep f
76,293,301,F,46128.56,1992-10-02,2-HIGH,Clerk#000000629,0,"re bold, ironic deposits. platelets c"
77,294,505,F,46889.54,1993-07-16,3-MEDIUM,Clerk#000000499,0,kly according to the frays. final dolphins affix quickly 
78,295,190,F,148569.49,1994-09-29,2-HIGH,Clerk#000000155,0, unusual pinto beans play. regular ideas haggle
79,320,4,O,50202.6,1997-11-21,2-HIGH,Clerk#000000573,0,ar foxes nag blithely
80,321,1226,F,73024.5,1993-03-21,3-MEDIUM,Clerk#000000289,0,equests run. blithely final dependencies after the deposits wake caref
81,322,1336,F,165992.05,1992-03-19,1-URGENT,Clerk#000000158,0,fully across the slyly bold packages. packages against the quickly regular i
82,323,392,F,121127.17,1994-03-26,1-URGENT,Clerk#000000959,0,arefully pending foxes sleep blithely. slyly express accoun
83,324,1052,F,46327.9,1992-03-20,1-URGENT,Clerk#000000352,0," about the ironic, regular deposits run blithely against the excuses"
84,325,401,F,94638.59,1993-10-17,5-LOW,Clerk#000000844,0,ly sometimes pending pa
85,326,760,O,325448.68,1995-06-04,2-HIGH,Clerk#000000466,0, requests. furiously ironic asymptotes mold carefully alongside of the blit
86,327,1447,P,32302.12,1995-04-17,5-LOW,Clerk#000000992,0,ng the slyly final courts. slyly even escapades eat 
87,352,1066,F,25542.02,1994-03-08,2-HIGH,Clerk#000000932,0,ke slyly bold pinto beans. blithely regular accounts against the spe
88,353,19,F,224983.69,1993-12-31,5-LOW,Clerk#000000449,0, quiet ideas sleep. even instructions cajole slyly. silently spe
89,354,1384,O,231311.22,1996-03-14,2-HIGH,Clerk#000000511,0,ly regular ideas wake across the slyly silent ideas. final deposits eat b
90,355,701,F,103949.82,1994-06-14,5-LOW,Clerk#000000532,0,"s. sometimes regular requests cajole. regular, pending accounts a"
91,356,1469,F,189160.02,1994-06-30,4-NOT SPECIFIED,Clerk#000000944,0,"as wake along the bold accounts. even, "
92,357,604,O,138936.83,1996-10-09,2-HIGH,Clerk#000000301,0,"e blithely about the express, final accounts. quickl"
93,358,23,F,362024.17,1993-09-20,2-HIGH,Clerk#000000392,0,"l, silent instructions are slyly. silently even de"
94,359,776,F,214770.97,1994-12-19,3-MEDIUM,Clerk#000000934,0,n dolphins. special courts above the carefully ironic requests use
95,384,1132,F,191275.12,1992-03-03,5-LOW,Clerk#000000206,0,", even accounts use furiously packages. slyly ironic pla"
96,385,331,O,75866.47,1996-03-22,5-LOW,Clerk#000000600,0,hless accounts unwind bold pain
97,386,602,F,119718.02,1995-01-25,2-HIGH,Clerk#000000648,0, haggle quickly. stealthily bold asymptotes haggle among the furiously even re
98,387,34,O,197839.44,1997-01-26,4-NOT SPECIFIED,Clerk#000000768,0, are carefully among the quickly even deposits. furiously silent req
99,388,448,F,161560.04,1992-12-16,4-NOT SPECIFIED,Clerk#000000356,0,ar foxes above the furiously ironic deposits nag slyly final reque
100,389,1270,F,3266.69,1994-02-17,2-HIGH,Clerk#000000062,0,"ing to the regular asymptotes. final, pending foxes about the blithely sil"
101,390,1027,O,232256.36,1998-04-07,5-LOW,Clerk#000000404,0,"xpress asymptotes use among the regular, final pinto b"
102,391,1103,F,14517.91,1994-11-17,2-HIGH,Clerk#000000256,0,orges thrash fluffil
103,416,403,F,106818.5,1993-09-27,5-LOW,Clerk#000000294,0, the accounts. fluffily bold depo
104,417,547,F,132531.73,1994-02-06,3-MEDIUM,Clerk#000000468,0,"ironic, even packages. thinly unusual accounts sleep along the slyly unusual "
105,418,949,P,39431.46,1995-04-13,4-NOT SPECIFIED,Clerk#000000643,0,. furiously ironic instruc
106,419,1163,O,159079.22,1996-10-01,3-MEDIUM,Clerk#000000376,0,osits. blithely pending theodolites boost carefully
107,420,902,O,269064.47,1995-10-31,4-NOT SPECIFIED,Clerk#000000756,0,leep carefully final excuses. fluffily pending requests unwind carefully above
108,421,392,F,1292.21,1992-02-22,5-LOW,Clerk#000000405,0,"egular, even packages according to the final, un"
109,422,731,O,155533.71,1997-05-31,4-NOT SPECIFIED,Clerk#000000049,0,aggle carefully across the accounts. regular accounts eat fluffi
110,423,1034,O,31900.6,1996-06-01,1-URGENT,Clerk#000000674,0,quests. deposits cajole quickly. furiously bold accounts haggle q
111,448,1498,O,157247.56,1995-08-21,3-MEDIUM,Clerk#000000597,0," regular, express foxes use blithely. quic"
112,449,958,O,55082.33,1995-07-20,2-HIGH,Clerk#000000841,0,. furiously regular theodolites affix blithely 
113,450,475,P,213638.07,1995-03-05,4-NOT SPECIFIED,Clerk#000000293,0,d theodolites. boldly bold foxes since the pack
114,451,988,O,142756.81,1998-05-25,5-LOW,Clerk#000000048,0,nic pinto beans. theodolites poach carefully; 
115,452,596,O,2072.79,1997-10-14,1-URGENT,Clerk#000000498,0,"t, unusual instructions above the blithely bold pint"
116,453,442,O,343004.49,1997-05-26,5-LOW,Clerk#000000504,0,ss foxes. furiously regular ideas sleep according to t
117,454,488,O,24543.95,1995-12-27,5-LOW,Clerk#000000890,0,dolites sleep carefully blithely regular deposits. quickly regul
118,455,121,O,190711.32,1996-12-04,1-URGENT,Clerk#000000796,0, about the final platelets. dependen
119,480,715,F,30644.49,1993-05-08,5-LOW,Clerk#000000004,0,ealthy pinto beans. fluffily regular requests along the special sheaves wake 
120,481,304,F,160370.14,1992-10-08,2-HIGH,Clerk#000000230,0,ly final ideas. packages haggle fluffily
121,482,1252,O,197194.23,1996-03-26,1-URGENT,Clerk#000000295,0,ts. deposits wake: final acco
122,483,349,O,66194.38,1995-07-11,2-HIGH,Clerk#000000025,0,cross the carefully final e
123,484,544,O,331553.32,1997-01-03,3-MEDIUM,Clerk#000000545,0,"grouches use. furiously bold accounts maintain. bold, regular deposits"
124,485,1006,O,142389.7,1997-03-26,2-HIGH,Clerk#000000105,0, regular ideas nag thinly furiously s
125,486,509,O,286150.09,1996-03-11,4-NOT SPECIFIED,Clerk#000000803,0,riously dolphins. fluffily ironic requ
126,487,1079,F,88805.07,1992-08-18,1-URGENT,Clerk#000000086,0,ithely unusual courts eat accordi
127,512,631,P,183939.48,1995-05-20,5-LOW,Clerk#000000814,0,ding requests. carefully express theodolites was quickly. furious
128,513,607,O,78769.71,1995-05-01,2-HIGH,Clerk#000000522,0,regular packages. pinto beans cajole carefully against the even
129,514,749,O,123202.51,1996-04-04,2-HIGH,Clerk#000000094,0, cajole furiously. slyly final excuses cajole. slyly special instructions 
130,515,1420,F,177231.12,1993-08-29,4-NOT SPECIFIED,Clerk#000000700,0,eposits are furiously furiously silent pinto beans. pending pack
131,516,440,O,13277.79,1998-04-21,2-HIGH,Clerk#000000305,0,"lar, unusual platelets are carefully. even courts sleep bold, final pinto bea"
132,517,94,O,109269.47,1997-04-07,5-LOW,Clerk#000000359,0,slyly pending deposits cajole quickly packages. furiou
133,518,1444,O,335285.37,1998-02-08,2-HIGH,Clerk#000000768,0, the carefully bold accounts. quickly regular excuses are
134,519,631,O,109395.6,1997-10-31,1-URGENT,Clerk#000000985,0,ains doze furiously against the f
135,544,934,F,58960.45,1993-02-17,2-HIGH,Clerk#000000145,0,"the special, final accounts. dogged dolphins"
136,545,632,O,35129.54,1995-11-07,2-HIGH,Clerk#000000537,0,as. blithely final hockey players about th
137,546,1433,O,26227.74,1996-11-01,2-HIGH,Clerk#000000041,0,osits sleep. slyly special dolphins about the q
138,547,983,O,137852.72,1996-06-22,3-MEDIUM,Clerk#000000976,0,ing accounts eat. carefully regular packa
139,548,1240,F,139094.89,1994-09-21,1-URGENT,Clerk#000000435,0,arefully express instru
140,549,1100,F,211787.3,1992-07-13,1-URGENT,Clerk#000000196,0,ideas alongside of 
141,550,236,O,54818.45,1995-08-02,1-URGENT,Clerk#000000204,0,t requests. blithely 
142,551,898,O,64301.4,1995-05-30,1-URGENT,Clerk#000000179,0,xpress accounts boost quic
143,576,296,O,24722.97,1997-05-13,3-MEDIUM,Clerk#000000955,0,l requests affix regular requests. final account
144,577,553,F,47860.53,1994-12-19,5-LOW,Clerk#000000154,0, deposits engage stealthil
145,578,926,O,103543.0,1997-01-10,5-LOW,Clerk#000000281,0,e blithely even packages. slyly pending platelets bes
146,579,671,O,146610.11,1998-03-11,2-HIGH,Clerk#000000862,0, regular instructions. blithely even p
147,580,593,O,144557.44,1997-07-05,2-HIGH,Clerk#000000314,0,tegrate fluffily regular accou
148,581,688,O,175985.28,1997-02-23,4-NOT SPECIFIED,Clerk#000000239,0, requests. even requests use slyly. blithely ironic 
149,582,494,O,181813.2,1997-10-21,1-URGENT,Clerk#000000378,0,n pinto beans print a
150,583,472,O,154731.76,1997-03-19,3-MEDIUM,Clerk#000000792,0,efully express requests. a
151,608,260,O,100151.2,1996-02-28,3-MEDIUM,Clerk#000000995,0,nic waters wake slyly slyly expre
152,609,1252,F,33980.88,1994-06-01,3-MEDIUM,Clerk#000000348,0,- ironic gifts believe furiously ca
153,610,508,O,229411.94,1995-08-02,1-URGENT,Clerk#000000610,0,"totes. ironic, unusual packag"
154,611,1055,F,83388.31,1993-01-27,1-URGENT,Clerk#000000401,0,ounts detect furiously ac
155,612,815,F,232560.07,1992-10-21,3-MEDIUM,Clerk#000000759,0,boost quickly quickly final excuses. final foxes use bravely afte
156,613,1384,O,56355.92,1995-06-18,2-HIGH,Clerk#000000172,0,ts hinder among the deposits. fluffily ironic depos
157,614,1333,F,325942.94,1992-12-01,2-HIGH,Clerk#000000388,0," deposits! even, daring theodol"
158,615,655,F,30990.93,1992-05-09,5-LOW,Clerk#000000388,0,t to promise asymptotes. packages haggle alongside of the fluffil
159,640,952,F,210229.36,1993-01-23,2-HIGH,Clerk#000000433,0,"r, unusual accounts boost carefully final ideas. slyly silent theod"
160,641,1330,F,175084.81,1993-08-30,5-LOW,Clerk#000000175,0,ents cajole furiously about the quickly silent pac
161,642,400,F,34647.34,1993-12-16,3-MEDIUM,Clerk#000000357,0, among the requests wake slyly alongside of th
162,643,578,P,261882.19,1995-03-25,2-HIGH,Clerk#000000354,0,g dependencies. regular accounts 
163,644,74,F,267079.41,1992-05-01,1-URGENT,Clerk#000000550,0," blithely unusual platelets haggle ironic, special excuses. excuses unwi"
164,645,1144,F,350110.21,1994-12-03,2-HIGH,Clerk#000000090,0,quickly daring theodolites across the regu
165,646,505,F,192105.59,1994-11-22,2-HIGH,Clerk#000000203,0,carefully even foxes. fina
166,647,1430,O,67696.52,1997-08-07,1-URGENT,Clerk#000000270,0,egular pearls. carefully express asymptotes are. even account
167,672,1081,F,128581.82,1994-04-14,5-LOW,Clerk#000000106,0,egular requests are furiously according to 
168,673,793,F,34950.94,1994-03-10,1-URGENT,Clerk#000000448,0, special pinto beans use quickly furiously even depende
169,674,332,F,27390.0,1992-08-29,5-LOW,Clerk#000000448,0,ully special deposits. furiously final warhorses affix carefully. fluffily f
170,675,118,O,166843.13,1997-07-31,2-HIGH,Clerk#000000168,0,ffily between the careful
171,676,380,O,254171.66,1996-12-13,2-HIGH,Clerk#000000248,0,"the final deposits. special, pending"
172,677,1240,F,205917.22,1993-11-24,3-MEDIUM,Clerk#000000824,0,uriously special pinto beans cajole carefully. fi
173,678,1307,F,208791.37,1993-02-27,5-LOW,Clerk#000000530,0,. blithely final somas about the
174,679,485,O,14905.06,1995-12-15,2-HIGH,Clerk#000000853,0,"tealthy, final pinto beans haggle slyly. pending platelets about the special, "
175,704,844,O,85100.07,1996-11-21,3-MEDIUM,Clerk#000000682,0,"blithely pending platelets wake alongside of the final, iron"
176,705,428,O,117587.4,1997-02-13,4-NOT SPECIFIED,Clerk#000000294,0,"ithely regular dependencies. express, even packages sleep slyly pending t"
177,706,1474,O,40836.77,1995-09-09,1-URGENT,Clerk#000000448,0,g the packages. deposits caj
178,707,1162,F,80722.77,1994-11-20,3-MEDIUM,Clerk#000000199,0," ideas about the silent, bold deposits nag dolphins"
179,708,316,O,127925.56,1998-07-03,3-MEDIUM,Clerk#000000101,0,lphins cajole about t
180,709,361,O,92115.73,1998-04-21,1-URGENT,Clerk#000000461,0,ons alongside of the carefully bold pinto bea
181,710,1312,F,309878.5,1993-01-02,5-LOW,Clerk#000000026,0," regular, regular requests boost. fluffily re"
182,711,637,F,99553.27,1993-09-23,4-NOT SPECIFIED,Clerk#000000856,0,its. fluffily regular gifts are furi
183,736,464,O,200720.61,1998-06-21,5-LOW,Clerk#000000881,0,refully of the final pi
184,737,1198,F,20647.65,1992-04-26,5-LOW,Clerk#000000233,0,"ake blithely express, ironic theodolites. blithely special accounts wa"
185,738,208,F,177823.89,1993-03-02,4-NOT SPECIFIED,Clerk#000000669,0,ly even foxes. furiously regular accounts cajole ca
186,739,4,O,226008.8,1998-05-31,5-LOW,Clerk#000000900,0, against the slyly ironic packages nag slyly ironic
187,740,436,O,126713.42,1995-07-16,3-MEDIUM,Clerk#000000583,0,"courts haggle furiously across the final, regul"
188,741,1045,O,81912.56,1998-07-07,2-HIGH,Clerk#000000295,0,ic instructions. slyly express instructions solv
189,742,1030,F,258834.44,1994-12-23,5-LOW,Clerk#000000543,0,equests? slyly ironic dolphins boost carefully above the blithely
190,743,784,O,39284.49,1996-10-04,4-NOT SPECIFIED,Clerk#000000933,0,eans. furiously ironic deposits sleep carefully carefully qui
191,768,971,O,294534.22,1996-08-20,3-MEDIUM,Clerk#000000411,0,jole slyly ironic packages. slyly even idea
192,769,800,F,65622.27,1993-06-02,3-MEDIUM,Clerk#000000172,0,ggle furiously. ironic packages haggle slyly. bold platelets affix s
193,770,320,O,99554.29,1998-05-23,5-LOW,Clerk#000000572,0,heodolites. furiously special pinto beans cajole pac
194,771,446,O,151561.45,1995-06-17,1-URGENT,Clerk#000000105,0,s. furiously final instructions across the deposit
195,772,965,F,205442.15,1993-04-17,2-HIGH,Clerk#000000430,0,s boost blithely fluffily idle ideas? fluffily even pin
196,773,1319,F,190734.21,1993-09-26,3-MEDIUM,Clerk#000000307,0,"tions are quickly accounts. accounts use bold, even pinto beans. gifts ag"
197,774,796,O,214484.43,1995-12-04,1-URGENT,Clerk#000000883,0,tealthily even depths
198,775,1333,F,75392.93,1995-03-18,1-URGENT,Clerk#000000191,0,kly express requests. fluffily silent accounts poach furiously
199,800,560,O,144932.63,1998-07-14,2-HIGH,Clerk#000000213,0,y alongside of the pending packages? final platelets nag fluffily carefu
200,801,1178,F,186160.67,1992-02-18,1-URGENT,Clerk#000000186,0,iously from the furiously enticing reques
201,802,1367,F,192178.48,1995-01-05,1-URGENT,Clerk#000000516,0,"posits. ironic, pending requests cajole. even theodol"
202,803,145,O,49471.93,1997-04-29,5-LOW,Clerk#000000260,0,ic instructions. even deposits haggle furiously at the deposits-- regular de
203,804,500,F,136844.01,1993-03-12,3-MEDIUM,Clerk#000000931,0,s. blithely final foxes are about the packag
204,805,1261,O,145879.67,1995-07-05,4-NOT SPECIFIED,Clerk#000000856,0,y according to the fluffily 
205,806,1309,O,39072.3,1996-06-20,2-HIGH,Clerk#000000240,0, the ironic packages wake carefully fina
206,807,1436,F,291066.38,1993-11-24,3-MEDIUM,Clerk#000000012,0,refully special tithes. blithely regular accoun
207,832,290,F,75549.27,1992-04-19,5-LOW,Clerk#000000495,0,xes. bravely regular packages sleep up the furiously bold accou
208,833,553,F,53948.73,1994-02-13,3-MEDIUM,Clerk#000000437,0,ts haggle quickly across the slyl
209,834,428,F,57631.12,1994-05-23,3-MEDIUM,Clerk#000000805,0, sleep. quickly even foxes are boldly. slyly express requests use slyly
210,835,649,O,79671.35,1995-10-08,4-NOT SPECIFIED,Clerk#000000416,0,s about the carefully special foxes haggle quickly about the
211,836,688,O,103041.7,1996-11-25,4-NOT SPECIFIED,Clerk#000000729,0,ely bold excuses sleep regular ideas. furiously unusual ideas wake furiou
212,837,1159,F,99107.47,1994-06-15,4-NOT SPECIFIED,Clerk#000000563,0,"kages sleep slyly above the ironic, final orbits"
213,838,164,O,119122.55,1998-01-29,5-LOW,Clerk#000000213,0, slyly around the slyly even
214,839,280,O,109349.68,1995-08-08,1-URGENT,Clerk#000000951,0,the carefully even platelets. furiously unusual fo
215,864,1378,O,110290.44,1997-08-17,1-URGENT,Clerk#000000036,0,"ly after the slyly regular deposits. express, regular asymptotes nag ca"
216,865,26,F,112126.26,1993-05-04,3-MEDIUM,Clerk#000000337,0,. special packages wake after the carefully final accounts. express pinto be
217,866,383,F,5793.01,1992-11-28,3-MEDIUM,Clerk#000000718,0,"ins after the even, even accounts nod blithel"
218,867,253,F,9271.15,1993-11-16,3-MEDIUM,Clerk#000000877,0,"pades nag quickly final, "
219,868,1036,F,157914.01,1992-06-09,4-NOT SPECIFIED,Clerk#000000782,0,onic theodolites print carefully. blithely dogge
220,869,1348,O,88458.72,1997-01-12,2-HIGH,Clerk#000000245,0,ar sheaves are slowly. slyly even attainments boost theodolites. furiously
221,870,322,F,60182.94,1993-06-20,4-NOT SPECIFIED,Clerk#000000123,0,"blithely ironic ideas nod. sly, r"
222,871,145,O,265450.06,1995-11-15,5-LOW,Clerk#000000882,0,oss the ironic theodolites.
223,896,17,F,248402.1,1993-03-09,1-URGENT,Clerk#000000187,0,inal packages eat blithely according to the warhorses. furiously quiet de
224,897,490,P,88281.28,1995-03-20,1-URGENT,Clerk#000000316,0, wake quickly against 
225,898,536,F,159708.26,1993-06-03,2-HIGH,Clerk#000000611,0,. unusual pinto beans haggle quickly across 
226,899,1085,O,165248.53,1998-04-08,5-LOW,Clerk#000000575,0,rts engage carefully final theodolites.
227,900,460,F,173555.09,1994-10-01,4-NOT SPECIFIED,Clerk#000000060,0, fluffily express deposits nag furiousl
228,901,113,O,106041.48,1998-07-21,4-NOT SPECIFIED,Clerk#000000929,0,"lyly even foxes are furious, silent requests. requests about the quickly "
229,902,86,F,49777.81,1994-07-27,4-NOT SPECIFIED,Clerk#000000811,0,yly final requests over the furiously regula
230,903,109,O,140726.26,1995-07-07,4-NOT SPECIFIED,Clerk#000000793,0,e slyly about the final pl
231,928,658,F,315638.02,1995-03-02,5-LOW,Clerk#000000450,0,ithely express pinto beans. 
232,929,827,F,149145.44,1992-10-02,2-HIGH,Clerk#000000160,0,its. furiously even foxes affix carefully finally silent accounts. express req
233,930,1310,F,285619.42,1994-12-17,1-URGENT,Clerk#000000004,0," accounts nag slyly. ironic, ironic accounts wake blithel"
234,931,1030,F,170066.75,1992-12-07,1-URGENT,Clerk#000000881,0,"ss packages haggle furiously express, regular deposits. even, e"
235,932,404,O,57043.21,1997-05-16,2-HIGH,Clerk#000000218,0,ly express instructions boost furiously reg
236,933,955,F,106503.56,1992-08-05,4-NOT SPECIFIED,Clerk#000000752,0,ial courts wake permanently against the furiously regular ideas. unusual 
