,l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
37,34,1696,79,3,6,9586.14,0.02,0.06,N,O,1998-10-30,1998-09-20,1998-11-05,NONE,FOB,ar foxes sleep 
38,35,5,31,1,24,21720.0,0.02,0.0,N,O,1996-02-21,1996-01-03,1996-03-18,TAKE BACK RETURN,FOB,", regular tithe"
39,35,1620,62,2,34,51735.08,0.06,0.08,N,O,1996-01-22,1996-01-06,1996-01-27,DELIVER IN PERSON,RAIL,s are carefully against the f
40,35,1209,21,3,7,7771.4,0.06,0.04,N,O,1996-01-19,1995-12-22,1996-01-29,NONE,MAIL, the carefully regular 
41,35,852,86,4,25,43821.25,0.06,0.05,N,O,1995-11-26,1995-12-25,1995-12-21,DELIVER IN PERSON,SHIP, quickly unti
42,35,1200,73,5,34,37440.8,0.08,0.06,N,O,1995-11-08,1996-01-15,1995-11-26,COLLECT COD,MAIL,". silent, unusual deposits boost"
43,35,308,37,6,28,33832.4,0.03,0.02,N,O,1996-02-01,1995-12-24,1996-02-28,COLLECT COD,RAIL,ly alongside of 
44,36,1198,99,1,42,46165.98,0.09,0.0,N,O,1996-02-03,1996-01-21,1996-02-23,COLLECT COD,SHIP, careful courts. special 
45,37,227,55,1,40,45088.8,0.09,0.03,A,F,1992-07-21,1992-08-01,1992-08-15,NONE,REG AIR,luffily regular requests. slyly final acco
46,37,1268,43,2,39,45601.14,0.05,0.02,A,F,1992-07-02,1992-08-18,1992-07-28,TAKE BACK RETURN,RAIL,the final requests. ca
47,37,130,57,3,43,44295.59,0.05,0.08,A,F,1992-07-10,1992-07-06,1992-08-02,DELIVER IN PERSON,TRUCK,iously ste
48,38,1759,44,1,44,73073.0,0.04,0.02,N,O,1996-09-29,1996-11-17,1996-09-30,COLLECT COD,MAIL,s. blithely unusual theodolites am
49,39,24,100,1,44,40656.88,0.09,0.06,N,O,1996-11-14,1996-12-15,1996-12-12,COLLECT COD,RAIL,eodolites. careful
50,39,1866,96,2,26,45964.36,0.08,0.04,N,O,1996-11-04,1996-10-20,1996-11-20,NONE,FOB,ckages across the slyly silent
51,39,679,73,3,46,72664.82,0.06,0.08,N,O,1996-09-26,1996-12-19,1996-10-26,DELIVER IN PERSON,AIR,he carefully e
52,39,206,34,4,32,35398.4,0.07,0.05,N,O,1996-10-02,1996-12-19,1996-10-14,COLLECT COD,MAIL,heodolites sleep silently pending foxes. ac
53,39,546,7,5,43,62201.22,0.01,0.01,N,O,1996-10-17,1996-11-14,1996-10-26,COLLECT COD,MAIL,yly regular i
54,39,944,79,6,40,73797.6,0.06,0.05,N,O,1996-12-08,1996-10-22,1997-01-01,COLLECT COD,AIR,quickly ironic fox
55,64,860,61,1,21,36978.06,0.05,0.02,R,F,1994-09-30,1994-09-18,1994-10-26,DELIVER IN PERSON,REG AIR,"ch slyly final, thin platelets."
56,65,597,58,1,26,38937.34,0.03,0.03,A,F,1995-04-20,1995-04-25,1995-05-13,NONE,TRUCK,pending deposits nag even packages. ca
57,65,739,4,2,22,36074.06,0.0,0.05,N,O,1995-07-17,1995-06-04,1995-07-19,COLLECT COD,FOB," ideas. special, r"
58,65,14,40,3,21,19194.21,0.09,0.07,N,O,1995-07-06,1995-05-14,1995-07-31,DELIVER IN PERSON,RAIL,bove the even packages. accounts nag carefu
59,66,1152,89,1,31,32647.65,0.0,0.08,R,F,1994-02-19,1994-03-11,1994-02-20,TAKE BACK RETURN,RAIL,ut the unusual accounts sleep at the bo
60,66,1735,36,2,41,67105.93,0.04,0.07,A,F,1994-02-21,1994-03-01,1994-03-18,COLLECT COD,AIR, regular de
61,67,217,99,1,4,4468.84,0.09,0.04,N,O,1997-04-17,1997-01-31,1997-04-20,NONE,SHIP, cajole thinly expres
62,67,202,57,2,12,13226.4,0.09,0.05,N,O,1997-01-27,1997-02-21,1997-02-22,NONE,REG AIR, even packages cajole
63,67,1736,79,3,5,8188.65,0.03,0.07,N,O,1997-02-20,1997-02-12,1997-02-21,DELIVER IN PERSON,TRUCK,y unusual packages thrash pinto 
64,67,876,77,4,44,78182.28,0.08,0.06,N,O,1997-03-18,1997-01-29,1997-04-13,DELIVER IN PERSON,RAIL,"se quickly above the even, express reques"
65,67,407,95,5,23,30070.2,0.05,0.07,N,O,1997-04-19,1997-02-14,1997-05-06,DELIVER IN PERSON,REG AIR,ly regular deposit
66,67,1784,27,6,29,48887.62,0.02,0.05,N,O,1997-01-25,1997-01-27,1997-01-27,DELIVER IN PERSON,FOB,ultipliers 
67,68,71,97,1,3,2913.21,0.05,0.02,N,O,1998-07-04,1998-06-05,1998-07-21,NONE,RAIL,fully special instructions cajole. furious
68,68,1752,79,2,46,76072.5,0.02,0.05,N,O,1998-06-26,1998-06-07,1998-07-05,NONE,MAIL," requests are unusual, regular pinto "
69,68,350,79,3,46,57516.1,0.04,0.05,N,O,1998-08-13,1998-07-08,1998-08-29,NONE,RAIL,egular dependencies affix ironically along 
70,68,948,51,4,20,36978.8,0.07,0.01,N,O,1998-06-27,1998-05-23,1998-07-02,NONE,REG AIR, excuses integrate fluffily 
71,68,828,62,5,27,46678.14,0.03,0.06,N,O,1998-06-19,1998-06-25,1998-06-29,DELIVER IN PERSON,SHIP,ccounts. deposits use. furiously
72,68,1026,62,6,30,27810.6,0.05,0.06,N,O,1998-08-11,1998-07-11,1998-08-14,NONE,RAIL,oxes are slyly blithely fin
73,68,1393,32,7,41,53069.99,0.09,0.08,N,O,1998-06-24,1998-06-27,1998-07-06,NONE,SHIP,eposits nag special ideas. furiousl
74,69,1153,90,1,48,50599.2,0.01,0.07,A,F,1994-08-17,1994-08-11,1994-09-08,NONE,TRUCK,regular epitaphs. carefully even ideas hag
75,69,1042,13,2,32,30177.28,0.08,0.06,A,F,1994-08-24,1994-08-17,1994-08-31,NONE,REG AIR,"s sleep carefully bold, "
76,69,1373,88,3,17,21664.29,0.09,0.0,A,F,1994-07-02,1994-07-07,1994-07-03,TAKE BACK RETURN,AIR,"final, pending instr"
77,69,376,33,4,3,3829.11,0.09,0.04,R,F,1994-06-06,1994-07-27,1994-06-15,NONE,MAIL, blithely final d
78,69,921,90,5,42,76520.64,0.07,0.04,R,F,1994-07-31,1994-07-26,1994-08-28,DELIVER IN PERSON,REG AIR,"tect regular, speci"
79,69,186,13,6,23,24982.14,0.05,0.0,A,F,1994-10-03,1994-08-06,1994-10-24,NONE,SHIP,nding accounts ca
80,70,642,5,1,8,12341.12,0.03,0.08,R,F,1994-01-12,1994-02-27,1994-01-14,TAKE BACK RETURN,FOB,ggle. carefully pending dependenc
81,70,1962,51,2,13,24231.48,0.06,0.06,A,F,1994-03-03,1994-02-13,1994-03-26,COLLECT COD,AIR,lyly special packag
82,70,1799,26,3,1,1700.79,0.03,0.05,R,F,1994-01-26,1994-03-05,1994-01-28,TAKE BACK RETURN,RAIL,quickly. fluffily unusual theodolites c
83,70,458,17,4,11,14942.95,0.01,0.05,A,F,1994-03-17,1994-03-17,1994-03-27,NONE,MAIL,alongside of the deposits. fur
84,70,372,29,5,37,47077.69,0.09,0.04,R,F,1994-02-13,1994-03-16,1994-02-21,COLLECT COD,MAIL,n accounts are. q
85,70,557,48,6,19,27693.45,0.06,0.03,A,F,1994-01-26,1994-02-17,1994-02-06,TAKE BACK RETURN,SHIP, packages wake pending accounts.
86,71,620,21,1,25,38015.5,0.09,0.07,N,O,1998-04-10,1998-04-22,1998-04-11,COLLECT COD,FOB,ckly. slyly
87,71,660,54,2,3,4681.98,0.09,0.07,N,O,1998-05-23,1998-04-03,1998-06-02,COLLECT COD,SHIP,y. pinto beans haggle after the
88,71,345,30,3,45,56040.3,0.0,0.07,N,O,1998-02-23,1998-03-20,1998-03-24,DELIVER IN PERSON,SHIP, ironic packages believe blithely a
89,71,967,2,4,33,61642.68,0.0,0.01,N,O,1998-04-12,1998-03-20,1998-04-15,NONE,FOB, serve quickly fluffily bold deposi
90,71,1033,69,5,39,36427.17,0.08,0.06,N,O,1998-01-29,1998-04-07,1998-02-18,DELIVER IN PERSON,RAIL,l accounts sleep across the pack
91,71,1957,46,6,34,63204.3,0.04,0.01,N,O,1998-03-05,1998-04-22,1998-03-30,DELIVER IN PERSON,TRUCK,s cajole. 
92,96,1231,43,1,23,26041.29,0.1,0.06,A,F,1994-07-19,1994-06-29,1994-07-25,DELIVER IN PERSON,TRUCK,ep-- carefully reg
93,96,1354,55,2,30,37660.5,0.01,0.06,R,F,1994-06-03,1994-05-29,1994-06-22,DELIVER IN PERSON,TRUCK,e quickly even ideas. furiou
94,97,1195,32,1,13,14250.47,0.0,0.02,R,F,1993-04-01,1993-04-04,1993-04-08,NONE,TRUCK,ayers cajole against the furiously
95,97,496,26,2,37,51670.13,0.02,0.06,A,F,1993-04-13,1993-03-30,1993-04-14,DELIVER IN PERSON,SHIP,ic requests boost carefully quic
96,97,777,74,3,19,31877.63,0.06,0.08,R,F,1993-05-14,1993-03-05,1993-05-25,TAKE BACK RETURN,RAIL,gifts. furiously ironic packages cajole. 
97,98,403,4,1,28,36495.2,0.06,0.07,A,F,1994-12-24,1994-10-25,1995-01-16,COLLECT COD,REG AIR," pending, regular accounts s"
98,98,1098,4,2,1,999.09,0.0,0.0,A,F,1994-12-01,1994-12-12,1994-12-15,DELIVER IN PERSON,TRUCK,. unusual instructions against
99,98,448,49,3,14,18878.16,0.05,0.02,A,F,1994-12-30,1994-11-22,1995-01-27,COLLECT COD,AIR, cajole furiously. blithely ironic ideas 
100,98,1672,73,4,10,15736.7,0.03,0.03,A,F,1994-10-23,1994-11-08,1994-11-09,COLLECT COD,RAIL, carefully. quickly ironic ideas
101,99,872,72,1,10,17728.7,0.02,0.01,A,F,1994-05-18,1994-06-03,1994-05-23,COLLECT COD,RAIL,kages. requ
102,99,1238,39,2,5,5696.15,0.02,0.07,R,F,1994-05-06,1994-05-28,1994-05-20,TAKE BACK RETURN,RAIL,ests cajole fluffily waters. blithe
103,99,1341,56,3,42,52178.28,0.02,0.02,A,F,1994-04-19,1994-05-18,1994-04-20,NONE,RAIL,kages are fluffily furiously ir
104,99,1084,20,4,36,35462.88,0.09,0.02,A,F,1994-07-04,1994-04-17,1994-07-30,DELIVER IN PERSON,AIR,slyly. slyly e
105,100,621,22,1,28,42605.36,0.04,0.05,N,O,1998-05-08,1998-05-13,1998-06-07,COLLECT COD,TRUCK,sts haggle. slowl
106,100,1160,97,2,22,23345.52,0.0,0.07,N,O,1998-06-24,1998-04-12,1998-06-29,DELIVER IN PERSON,SHIP,nto beans alongside of the fi
107,100,462,92,3,46,62673.16,0.03,0.04,N,O,1998-05-02,1998-04-10,1998-05-22,TAKE BACK RETURN,SHIP,ular accounts. even
108,100,381,38,4,14,17939.32,0.06,0.03,N,O,1998-05-22,1998-05-01,1998-06-03,COLLECT COD,MAIL,y. furiously ironic ideas gr
109,100,535,26,5,37,53114.61,0.05,0.0,N,O,1998-03-06,1998-04-16,1998-03-31,TAKE BACK RETURN,TRUCK,nd the quickly s
110,101,1183,92,1,49,53124.82,0.1,0.0,N,O,1996-06-21,1996-05-27,1996-06-29,DELIVER IN PERSON,REG AIR,ts-- final packages sleep furiousl
111,101,1634,58,2,36,55282.68,0.0,0.01,N,O,1996-05-19,1996-05-01,1996-06-04,DELIVER IN PERSON,AIR,tes. blithely pending dolphins x-ray f
112,101,1385,100,3,12,15436.56,0.06,0.02,N,O,1996-03-29,1996-04-20,1996-04-12,COLLECT COD,MAIL,. quickly regular
113,102,890,57,1,37,66262.93,0.06,0.0,N,O,1997-07-24,1997-08-02,1997-08-07,TAKE BACK RETURN,SHIP,ully across the ideas. final deposit
114,102,1693,17,2,34,54219.46,0.03,0.08,N,O,1997-08-09,1997-07-28,1997-08-26,TAKE BACK RETURN,SHIP,eposits cajole across
115,102,1824,68,3,25,43145.5,0.01,0.01,N,O,1997-07-31,1997-07-24,1997-08-17,NONE,RAIL,bits. ironic accoun
116,102,612,6,4,15,22689.15,0.07,0.07,N,O,1997-06-02,1997-07-13,1997-06-04,DELIVER IN PERSON,SHIP,final packages. carefully even excu
117,103,1947,80,1,6,11093.64,0.03,0.05,N,O,1996-10-11,1996-07-25,1996-10-28,NONE,FOB,cajole. carefully ex
118,103,105,32,2,37,37188.7,0.02,0.07,N,O,1996-09-17,1996-07-27,1996-09-20,TAKE BACK RETURN,MAIL,ies. quickly ironic requests use blithely
119,103,285,86,3,23,27261.44,0.01,0.04,N,O,1996-09-11,1996-09-18,1996-09-26,NONE,FOB,ironic accou
120,103,291,46,4,32,38121.28,0.01,0.07,N,O,1996-07-30,1996-08-06,1996-08-04,NONE,RAIL,"kages doze. special, regular deposit"
121,128,1069,5,1,38,36862.28,0.06,0.01,A,F,1992-09-01,1992-08-27,1992-10-01,TAKE BACK RETURN,FOB, cajole careful
122,129,29,55,1,46,42734.92,0.08,0.02,R,F,1993-02-15,1993-01-24,1993-03-05,COLLECT COD,TRUCK,uietly bold theodolites. fluffil
123,129,1852,53,2,36,63138.6,0.01,0.02,A,F,1992-11-25,1992-12-25,1992-12-09,TAKE BACK RETURN,REG AIR,packages are care
124,129,395,24,3,33,42747.87,0.04,0.06,A,F,1993-01-08,1993-02-14,1993-01-29,COLLECT COD,SHIP,sts nag bravely. fluffily
125,129,1352,29,4,34,42613.9,0.0,0.01,R,F,1993-01-29,1993-02-14,1993-02-10,COLLECT COD,MAIL,quests. express ideas
126,129,314,99,5,24,29143.44,0.06,0.0,A,F,1992-12-07,1993-01-02,1992-12-11,TAKE BACK RETURN,FOB,uests. foxes cajole slyly after the ca
127,129,771,68,6,22,36778.94,0.06,0.01,R,F,1993-02-15,1993-01-31,1993-02-24,COLLECT COD,SHIP,e. fluffily regular 
128,129,1686,69,7,1,1587.68,0.05,0.04,R,F,1993-01-26,1993-01-08,1993-02-24,DELIVER IN PERSON,FOB,e carefully blithely bold dolp
129,130,1289,90,1,14,16663.92,0.08,0.05,A,F,1992-08-15,1992-07-25,1992-09-13,COLLECT COD,RAIL, requests. final instruction
130,130,18,44,2,48,44064.48,0.03,0.02,R,F,1992-07-01,1992-07-12,1992-07-24,NONE,AIR,lithely alongside of the regu
131,130,119,20,3,18,18343.98,0.04,0.08,A,F,1992-07-04,1992-06-14,1992-07-29,DELIVER IN PERSON,MAIL, slyly ironic decoys abou
132,130,1157,66,4,13,13755.95,0.09,0.02,R,F,1992-06-26,1992-07-29,1992-07-05,NONE,FOB, pending dolphins sleep furious
133,130,692,55,5,31,49373.39,0.06,0.05,R,F,1992-09-01,1992-07-18,1992-09-02,TAKE BACK RETURN,RAIL,thily about the ruth
134,131,1676,18,1,45,70995.15,0.1,0.02,R,F,1994-09-14,1994-09-02,1994-10-04,NONE,FOB,"ironic, bold accounts. careful"
135,131,443,2,2,50,67172.0,0.02,0.04,A,F,1994-09-17,1994-08-10,1994-09-21,NONE,SHIP,"ending requests. final, ironic pearls slee"
136,131,1891,35,3,4,7171.56,0.04,0.03,A,F,1994-09-20,1994-08-30,1994-09-23,COLLECT COD,REG AIR, are carefully slyly i
137,132,1405,45,1,18,23515.2,0.0,0.08,R,F,1993-07-10,1993-08-05,1993-07-13,NONE,TRUCK,ges. platelets wake furio
138,132,1191,92,2,43,46964.17,0.01,0.08,R,F,1993-09-01,1993-08-16,1993-09-22,NONE,TRUCK,y pending theodolites
139,132,1145,46,3,32,33476.48,0.04,0.04,A,F,1993-07-12,1993-08-05,1993-08-05,COLLECT COD,TRUCK,d instructions hagg
140,132,281,63,4,23,27169.44,0.1,0.0,A,F,1993-06-16,1993-08-27,1993-06-23,DELIVER IN PERSON,AIR,refully blithely bold acco
141,133,1035,71,1,27,25272.81,0.0,0.02,N,O,1997-12-21,1998-02-23,1997-12-27,TAKE BACK RETURN,MAIL,yly even gifts after the sl
142,133,1763,90,2,12,19977.12,0.02,0.06,N,O,1997-12-02,1998-01-15,1997-12-29,DELIVER IN PERSON,REG AIR,ts cajole fluffily quickly i
143,133,1174,83,3,29,31179.93,0.09,0.08,N,O,1998-02-28,1998-01-30,1998-03-09,DELIVER IN PERSON,RAIL, the carefully regular theodoli
144,133,899,99,4,11,19798.79,0.06,0.01,N,O,1998-03-21,1998-01-15,1998-04-04,DELIVER IN PERSON,REG AIR,e quickly across the dolphins
145,134,7,8,1,21,19047.0,0.0,0.03,A,F,1992-07-17,1992-07-08,1992-07-26,COLLECT COD,SHIP,s. quickly regular
146,134,1647,30,2,35,54202.4,0.06,0.07,A,F,1992-08-23,1992-06-01,1992-08-24,NONE,MAIL,ajole furiously. instructio
147,134,1883,70,3,26,46406.88,0.09,0.06,A,F,1992-06-20,1992-07-12,1992-07-16,NONE,RAIL, among the pending depos
148,134,1441,42,4,47,63094.68,0.05,0.0,A,F,1992-08-16,1992-07-06,1992-08-28,NONE,REG AIR,s! carefully unusual requests boost careful
149,134,352,53,5,12,15028.2,0.05,0.02,A,F,1992-07-03,1992-06-01,1992-07-11,COLLECT COD,TRUCK,nts are quic
150,134,1332,71,6,12,14799.96,0.0,0.0,A,F,1992-08-08,1992-07-07,1992-08-20,TAKE BACK RETURN,FOB,lyly regular pac
151,135,1083,84,1,47,46251.76,0.06,0.08,N,O,1996-02-18,1996-01-01,1996-02-25,COLLECT COD,RAIL,ctions wake slyly abo
152,135,1984,17,2,21,39605.58,0.0,0.07,N,O,1996-02-11,1996-01-12,1996-02-13,DELIVER IN PERSON,SHIP, deposits believe. furiously regular p
153,135,1576,97,3,33,48759.81,0.02,0.0,N,O,1996-01-03,1995-11-21,1996-02-01,TAKE BACK RETURN,MAIL,ptotes boost slowly care
154,135,671,3,4,34,53436.78,0.02,0.03,N,O,1996-01-12,1996-01-19,1996-02-05,NONE,TRUCK,counts doze against the blithely ironi
155,135,1363,40,5,20,25287.2,0.01,0.04,N,O,1996-01-25,1995-11-20,1996-02-09,NONE,MAIL,theodolites. quickly p
156,135,1150,59,6,13,13664.95,0.04,0.02,N,O,1995-11-12,1995-12-22,1995-11-17,NONE,FOB,nal ideas. final instr
157,160,148,1,1,36,37733.04,0.07,0.01,N,O,1997-03-11,1997-03-11,1997-03-20,COLLECT COD,MAIL,"old, ironic deposits are quickly abov"
158,160,864,98,2,22,38826.92,0.0,0.04,N,O,1997-02-18,1997-03-05,1997-03-05,COLLECT COD,RAIL,ncies about the request
159,160,201,56,3,34,37440.8,0.01,0.05,N,O,1997-01-31,1997-03-13,1997-02-14,NONE,FOB,st sleep even gifts. dependencies along
160,161,1029,35,1,19,17670.38,0.01,0.01,A,F,1994-12-13,1994-11-19,1994-12-26,DELIVER IN PERSON,TRUCK,", regular sheaves sleep along"
161,162,1893,80,1,2,3589.78,0.02,0.01,N,O,1995-09-02,1995-06-17,1995-09-08,COLLECT COD,FOB,es! final somas integrate
162,163,1676,100,1,43,67839.81,0.01,0.0,N,O,1997-09-19,1997-11-19,1997-10-03,COLLECT COD,REG AIR,"al, bold dependencies wake. iron"
163,163,1208,9,2,13,14419.6,0.01,0.04,N,O,1997-11-11,1997-10-18,1997-12-07,DELIVER IN PERSON,TRUCK,inal requests. even pinto beans hag
164,163,369,98,3,27,34272.72,0.04,0.08,N,O,1997-12-26,1997-11-28,1998-01-05,COLLECT COD,REG AIR,ously express dependen
165,163,1927,72,4,5,9144.6,0.02,0.0,N,O,1997-11-17,1997-10-09,1997-12-05,DELIVER IN PERSON,TRUCK, must belie
166,163,1261,99,5,12,13947.12,0.1,0.0,N,O,1997-12-18,1997-10-26,1997-12-22,COLLECT COD,TRUCK,ly blithe accounts cajole 
167,163,1909,98,6,20,36218.0,0.0,0.07,N,O,1997-09-27,1997-11-15,1997-10-07,TAKE BACK RETURN,FOB,tructions integrate b
168,164,914,49,1,26,47187.66,0.09,0.04,A,F,1993-01-04,1992-11-21,1993-01-07,NONE,RAIL,s. blithely special courts are blithel
169,164,185,38,2,24,26044.32,0.05,0.05,R,F,1992-12-22,1992-11-27,1993-01-06,NONE,AIR,side of the slyly unusual theodolites. f
170,164,1256,68,3,38,43975.5,0.03,0.06,R,F,1992-12-04,1992-11-23,1993-01-02,TAKE BACK RETURN,AIR,counts cajole fluffily regular packages. b
171,164,176,3,4,32,34437.44,0.05,0.01,R,F,1992-12-21,1992-12-23,1992-12-28,COLLECT COD,RAIL,ts wake again
172,164,1476,55,5,43,59231.21,0.06,0.01,R,F,1992-11-26,1993-01-03,1992-12-08,COLLECT COD,RAIL,y carefully regular dep
173,164,1089,90,6,27,26732.16,0.1,0.04,R,F,1992-12-23,1993-01-16,1993-01-10,DELIVER IN PERSON,AIR,ayers wake carefully a
174,164,31,57,7,23,21413.69,0.09,0.04,A,F,1992-11-03,1992-12-02,1992-11-12,NONE,REG AIR,ress packages haggle ideas. blithely spec
175,165,332,89,1,3,3696.99,0.01,0.08,R,F,1993-03-29,1993-03-06,1993-04-12,DELIVER IN PERSON,REG AIR,riously requests. depos
176,165,1617,41,2,43,65300.23,0.08,0.05,R,F,1993-02-27,1993-04-19,1993-03-03,DELIVER IN PERSON,TRUCK,jole slyly according 
177,165,586,77,3,15,22298.7,0.0,0.05,R,F,1993-04-10,1993-03-29,1993-05-01,COLLECT COD,SHIP, bold packages mainta
178,165,1392,69,4,49,63376.11,0.07,0.06,A,F,1993-02-20,1993-04-02,1993-03-10,COLLECT COD,REG AIR,uses sleep slyly ruthlessly regular a
179,165,1551,92,5,27,39218.85,0.01,0.04,R,F,1993-04-27,1993-03-04,1993-05-13,NONE,MAIL,"around the ironic, even orb"
180,166,649,12,1,37,57336.68,0.09,0.03,N,O,1995-11-16,1995-10-17,1995-12-13,NONE,MAIL,lar frays wake blithely a
181,166,1664,65,2,13,20353.58,0.09,0.05,N,O,1995-11-09,1995-11-18,1995-11-14,COLLECT COD,SHIP,fully above the blithely fina
182,166,997,32,3,41,77817.59,0.07,0.03,N,O,1995-11-13,1995-11-07,1995-12-08,COLLECT COD,FOB,hily along the blithely pending fo
