STORE,NAME,ADDRESS,CITY,ZIPCODE,COUNTY_NUMBER,COUNTY,CATEGORY,CATEGORY_NAME,VENDOR_NO,VENDOR,ITEM,DESCRIPTION,PACK,LITER_SIZE,STATE_BTL_COST,BTL_PRICE,BOTTLE_QTY,TOTAL
2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,17,Cerro Gordo,1022100,TEQUILA,205,E AND J GALLO WINERY,89533,Familia Camarena Reposado,12,750,10,15,2,30
2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,17,Cerro Gordo,1022100,TEQUILA,65,Jim Beam Brands,89786,Sauza Gold,12,750,9.45,14.18,2,28.36
2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,17,Cerro Gordo,1022100,TEQUILA,421,"Sazerac Co., Inc.",89887,Torada Tequila Gold,12,1000,6.63,9.95,12,119.4
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",10550,Black Velvet Toasted Caramel,12,750,6.75,10.13,12,121.56
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",10553,Black Velvet Cinnamon Rush,12,750,6.75,10.13,12,121.56
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11776,Black Velvet,12,750,5.23,7.85,24,188.4
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11788,Black Velvet,6,1750,10.45,15.68,24,376.32
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1012100,CANADIAN WHISKIES,65,Jim Beam Brands,15248,Windsor Canadian Pet,6,1750,9.18,13.77,6,82.62
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011400,BOTTLED IN BOND BOURBON,259,Heaven Hill Brands,16096,Evan Williams Bottled in Bond,12,750,8.47,12.71,12,152.52
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011200,STRAIGHT BOURBON WHISKIES,259,Heaven Hill Brands,17916,Elijah Craig,12,750,14.04,21.06,2,42.12
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011200,STRAIGHT BOURBON WHISKIES,259,Heaven Hill Brands,17956,Evan Williams Str Bourbon,12,750,6.81,10.55,12,126.6
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011200,STRAIGHT BOURBON WHISKIES,259,Heaven Hill Brands,18046,Evan Williams Green Label,12,750,4.94,7.41,6,44.46
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011200,STRAIGHT BOURBON WHISKIES,184,Four Roses Distillery,18348,Four Roses Small Batch,6,750,15.17,22.76,2,45.52
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011200,STRAIGHT BOURBON WHISKIES,184,Four Roses Distillery,18352,Four Roses Yellow Label,12,750,10.81,16.22,5,81.1
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19066,Jim Beam,12,750,10.49,15.74,12,188.88
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011250,SINGLE BARREL BOURBON WHISKIES,65,Jim Beam Brands,19235,Knob Creek Single Barrel Reserve,6,750,26.24,39.36,2,78.72
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19478,Maker's Mark,6,1750,34.64,51.96,6,311.76
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011200,STRAIGHT BOURBON WHISKIES,55,Sazerac North America,21236,Ridgemont Reserve 1792,6,750,16.12,24.18,2,48.36
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011200,STRAIGHT BOURBON WHISKIES,461,Campari(skyy),22156,Wild Turkey 101,12,750,13.5,20.25,12,243
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011200,STRAIGHT BOURBON WHISKIES,85,Brown-Forman Corporation,22216,Woodford Reserve Bourbon,6,750,21.02,31.53,6,189.18
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011100,BLENDED WHISKIES,65,Jim Beam Brands,22786,Beam's 8 Star Bl Whiskey,12,750,3.67,5.51,12,66.12
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011100,BLENDED WHISKIES,260,Diageo Americas,25606,Seagrams 7 Crown Bl Whiskey,12,750,7,10.5,12,126
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011100,BLENDED WHISKIES,65,Jim Beam Brands,25878,Sunny Brook Blend Whiskey,6,1750,7.87,11.81,6,70.86
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26906,Jack Daniels Single Barrel Why.,6,750,27.09,40.64,2,81.28
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011500,STRAIGHT RYE WHISKIES,65,Jim Beam Brands,27066,Old Overholt Rye,12,750,11.54,17.31,12,207.72
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011500,STRAIGHT RYE WHISKIES,421,"Sazerac Co., Inc.",27100,Sazerac Rye,6,750,16.94,25.41,2,50.82
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081700,DISTILLED SPIRITS SPECIALTY,381,Windy Hill Spirits,27370,American Born Moonshine Original,6,750,13.17,19.76,6,118.56
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081700,DISTILLED SPIRITS SPECIALTY,381,Windy Hill Spirits,27371,American Born Moonshine Apple Pie,6,750,13.17,19.76,6,118.56
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081700,DISTILLED SPIRITS SPECIALTY,381,Windy Hill Spirits,27372,American Born Moonshine Dixie,6,750,13.17,19.76,6,118.56
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011100,BLENDED WHISKIES,260,Diageo Americas,27751,Seagrams Seven Crown Orchard Apple,12,750,7,10.5,12,126
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1041100,AMERICAN DRY GINS,260,Diageo Americas,30318,Gordon's Gin London Dry - Pet,6,1750,11,16.5,6,99
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1032200,IMPORTED VODKA - MISC,115,"Constellation Wine Company, Inc.",33663,Svedka Strawberry Lemonade,12,750,8.25,12.38,3,37.14
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1032080,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34006,Absolut Swedish Vodka 80 Prf,12,750,11.49,17.24,12,206.88
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1032200,IMPORTED VODKA - MISC,370,Pernod Ricard USA/Austin Nichols,34116,Absolut Mandrin,12,750,11.49,17.24,12,206.88
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1032080,IMPORTED VODKA,420,"Moet Hennessy USA, Inc.",34155,Belvedere Vodka,6,750,17.15,25.73,6,154.38
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1032200,IMPORTED VODKA - MISC,434,Luxco-St Louis,35699,Pearl Cucumber Vodka,12,750,7.86,11.79,6,70.74
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031080,80 PROOF VODKA,297,Laird And Company,35916,Five O'clock Vodka,12,750,3.37,5.06,12,60.72
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031080,80 PROOF VODKA,297,Laird And Company,35918,Five O'clock Vodka,6,1750,7.2,10.8,6,64.8
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031080,80 PROOF VODKA,260,Diageo Americas,36188,Gordon's Vodka 80 Prf - Pet,6,1750,9.68,14.52,6,87.12
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031080,80 PROOF VODKA,300,Mccormick Distilling Company,36886,Mccormick Vodka,12,750,3.31,4.97,12,59.64
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031080,80 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,1750,7.47,11.21,6,67.26
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031080,80 PROOF VODKA,380,Phillips Beverage Company,37346,Phillips Vodka,12,750,3.57,5.36,12,64.32
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031080,80 PROOF VODKA,380,Phillips Beverage Company,37348,Phillips Vodka,6,1750,7.6,11.4,6,68.4
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031200,FLAVORED VODKA,380,Phillips Beverage Company,40229,UV Sriracha,12,750,6.25,9.5,2,19
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031200,FLAVORED VODKA,205,E AND J GALLO WINERY,40289,New Amsterdam Coconut,12,750,6.9,10.35,6,62.1
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031200,FLAVORED VODKA,205,E AND J GALLO WINERY,40297,New Amsterdam Citron,12,750,6.9,10.35,6,62.1
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031200,FLAVORED VODKA,259,Heaven Hill Brands,41279,Burnett's Grape Vodka,12,750,4.18,6.6,12,79.2
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031200,FLAVORED VODKA,259,Heaven Hill Brands,41299,Burnett's Cherry Vodka,12,750,4.18,6.6,6,39.6
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031200,FLAVORED VODKA,259,Heaven Hill Brands,41320,Burnett's Watermelon,12,750,4.18,6.6,12,79.2
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031200,FLAVORED VODKA,380,Phillips Beverage Company,41360,Uv Pink Lemonade Vodka,12,750,6.5,9.75,6,58.5
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031200,FLAVORED VODKA,434,Luxco-St Louis,41500,Hawkeye Blue Raspberry Vodka,12,1000,5.01,7.52,12,90.24
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031200,FLAVORED VODKA,380,Phillips Beverage Company,41693,Uv Blue (raspberry) Vodka,12,750,6.5,9.75,12,117
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1062310,SPICED RUM,478,Trinchero Family Estates,42230,Sugar Island Spiced,12,750,10,15,12,180
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1062050,BARBADOS RUM,305,MHW Ltd,42244,Blue Chair Bay Coconut Spiced,12,750,9.42,14.13,2,28.26
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1062050,BARBADOS RUM,389,REMY COINTREAU USA         .,42507,Mt. Gay Black Barrel,12,750,14.99,22.49,2,44.98
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1062050,BARBADOS RUM,389,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,9.5,14.25,2,28.5
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1062300,FLAVORED RUM,259,Heaven Hill Brands,43076,Admiral Nelson Coconut Rum,12,750,5.78,8.67,6,52.02
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43126,Bacardi Superior Rum,12,750,8,12,12,144
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1062300,FLAVORED RUM,260,Diageo Americas,43282,Captain Morgan Parrot Bay Pineapple,12,750,7.49,11.24,2,22.48
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1062300,FLAVORED RUM,260,Diageo Americas,43314,Captain Morgan Grapefruit,12,750,9,13.5,2,27
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1062310,SPICED RUM,260,Diageo Americas,43316,Captain Morgan Private Stock Rum,12,750,11.45,17.18,6,103.08
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1062310,SPICED RUM,260,Diageo Americas,43318,Captain Morgan Private Stock,6,1750,19.5,29.25,2,58.5
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1062300,FLAVORED RUM,260,Diageo Americas,43410,Captain Morgan Parrot Bay Coconut,12,750,7.49,11.24,2,22.48
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1062310,SPICED RUM,259,Heaven Hill Brands,44258,Blackheart Premium Spiced Rum,12,750,7.94,11.91,12,142.92
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45248,Paramount Gold Rum,6,1750,7.84,11.76,6,70.56
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45276,Paramount White Rum,12,750,4,6,12,72
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1062310,SPICED RUM,395,Proximo,46504,Kraken Black Spiced Rum,12,750,10,15,6,90
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1012200,SCOTCH WHISKIES,305,MHW Ltd,4796,Cutty Sark Scotch,12,750,10.02,15.03,12,180.36
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1012210,SINGLE MALT SCOTCH,370,Pernod Ricard USA/Austin Nichols,5036,Glenlivet 12 Yr Malt Scotch,12,750,22.49,33.74,2,67.48
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1051010,AMERICAN GRAPE BRANDIES,259,Heaven Hill Brands,52316,Christian Bros Brandy,12,750,5.92,8.88,12,106.56
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1051010,AMERICAN GRAPE BRANDIES,205,E AND J GALLO WINERY,52563,E & J Xo Brandy,12,750,8,12,6,72
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1051010,AMERICAN GRAPE BRANDIES,115,"Constellation Wine Company, Inc.",53206,Paul Masson Vsop Grande Amber Brandy,12,750,6.6,9.9,6,59.4
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1051110,BLACKBERRY BRANDIES,434,Luxco-St Louis,55088,Paramount Blackberry Brandy,6,1750,11.29,16.94,6,101.64
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1051140,PEACH BRANDIES,115,"Constellation Wine Company, Inc.",56196,Paul Masson Peach Grande Amber Brandy,12,750,6.3,9.45,6,56.7
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1071100,AMERICAN COCKTAILS,55,Sazerac North America,57129,Chi-Chi's Mexican Mudslide,6,1750,6.5,9.75,6,58.5
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1071100,AMERICAN COCKTAILS,434,Luxco-St Louis,63530,Salvador's Original Margarita PET,6,1750,6,9,6,54
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1032200,IMPORTED VODKA - MISC,260,Diageo Americas,64573,Ciroc Pineapple,12,750,19,28.5,2,57
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1082900,MISC. IMPORTED CORDIALS & LIQUEURS,85,Brown-Forman Corporation,64676,Chambord Liqueur Royale De France,12,750,18.56,27.84,2,55.68
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1032200,IMPORTED VODKA - MISC,260,Diageo Americas,64716,Ciroc Peach,12,750,19,28.5,3,85.5
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,5,222.9
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64864,Fireball Cinnamon Whisky,24,375,5.33,8,24,192
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081600,WHISKEY LIQUEUR,260,Diageo Americas,66203,Piehole Apple Pie,12,750,7.49,11.24,12,134.88
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081600,WHISKEY LIQUEUR,260,Diageo Americas,66208,Piehole Cherry Pie,12,750,7.49,11.24,12,134.88
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081600,WHISKEY LIQUEUR,260,Diageo Americas,66213,Piehole Pecan Pie,12,750,7.49,11.24,12,134.88
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081030,COFFEE LIQUEURS,259,Heaven Hill Brands,67426,Copa De Oro Mexican Coffee,12,750,5.21,8.15,6,48.9
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081030,COFFEE LIQUEURS,65,Jim Beam Brands,67556,Kamora Coffee Liqueur,12,750,6.3,9.45,12,113.4
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081200,CREAM LIQUEURS,260,Diageo Americas,68036,Bailey's Original Irish Cream,12,750,13.25,19.88,12,238.56
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081200,CREAM LIQUEURS,434,Luxco-St Louis,68846,St. Brendan's Superior Irish Cream Liqueur,12,750,7.69,11.54,6,69.24
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081200,CREAM LIQUEURS,305,MHW Ltd,73055,Rumchata,12,750,12.5,18.75,12,225
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1011200,STRAIGHT BOURBON WHISKIES,259,Heaven Hill Brands,73715,Evan Williams Cherry Reserve,12,750,7.94,11.91,6,71.46
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081200,CREAM LIQUEURS,260,Diageo Americas,74086,Godiva Liqueur,12,750,17,25.5,2,51
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081200,CREAM LIQUEURS,260,Diageo Americas,74090,Godiva White Chocolate Liqueur,12,750,17,25.5,2,51
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081900,MISC. AMERICAN CORDIALS & LIQUEURS,322,U.S. Distilled Prod. Co,75208,Kinky Liqueur Mini,6,500,7.47,11.21,6,67.26
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081700,DISTILLED SPIRITS SPECIALTY,384,Piedmont Distillers,76038,Midnight Moon Cherry,6,750,11.5,17.25,6,103.5
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081700,DISTILLED SPIRITS SPECIALTY,384,Piedmont Distillers,76040,Midnight Moon Strawberry,6,750,11.5,17.25,6,103.5
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031200,FLAVORED VODKA,260,Diageo Americas,77353,Smirnoff Sorbet Light Pineapple Coconut,12,750,8.25,12.38,4,49.52
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031200,FLAVORED VODKA,260,Diageo Americas,77378,Smirnoff Sorbet Light Raspberry Pomegranate,12,750,8.25,12.38,6,74.28
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081600,WHISKEY LIQUEUR,284,Charles Jacquin/Independent Spirits,77472,Sweet Revenge,6,750,10.98,16.47,6,98.82
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031200,FLAVORED VODKA,260,Diageo Americas,77688,Smirnoff Lime,12,750,8.25,12.38,6,74.28
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1031200,FLAVORED VODKA,260,Diageo Americas,77698,Smirnoff Orange,12,750,8.25,12.38,6,74.28
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081900,MISC. AMERICAN CORDIALS & LIQUEURS,65,Jim Beam Brands,80096,Dekuyper Signature Creme De Banana,12,750,5.25,7.88,6,47.28
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081200,CREAM LIQUEURS,330,Gemini Spirits,80458,Ryan's Cream Liqueur,6,1750,10.54,16.31,6,97.86
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081300,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,80576,Arrow Peppermint Schnapps,12,750,3.42,5.13,6,30.78
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081330,PEACH SCHNAPPS,434,Luxco-St Louis,82126,Arrow Peach Schnapps,12,750,4.34,6.51,6,39.06
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081340,ROOT BEER SCHNAPPS,65,Jim Beam Brands,82826,Dekuyper Ragin' Root Beer Schnapps,12,750,6.3,9.45,6,56.7
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081370,WATERMELON SCHNAPPS,65,Jim Beam Brands,82866,Dekuyper Watermelon Pucker,12,750,6.3,9.45,12,113.4
2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,77,Polk,1081380,MISCELLANEOUS SCHNAPPS,55,Sazerac North America,84172,99 Bananas Mini,10,600,5.94,8.91,10,89.1
